City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
619,Senador Jose Porfirio,BR,78.42,overcast clouds,-2.5908,-51.9542,Pousada Novo Horizonte
630,Eyl,SO,84.81,broken clouds,7.9803,49.8164,Amiin Hotel
632,Candolim,IN,84.27,broken clouds,15.5181,73.7626,Resort Terra Paraiso
633,Ambon,ID,78.94,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
634,Manoel Urbano,BR,88.7,scattered clouds,-8.8389,-69.2597,Baixada Beira Rio
637,Marigot,MF,83.75,broken clouds,18.0667,-63.0833,"Sonesta Maho Beach Resort, Casino & Spa"
641,Carutapera,BR,81.93,overcast clouds,-1.195,-46.02,Lidera
644,Pringsewu,ID,77.07,overcast clouds,-5.3582,104.9744,Urban Style by Front One
647,Sola,VU,80.11,scattered clouds,-13.8833,167.55,Leumerus Bungalows
649,Issia,CI,76.82,light rain,6.4922,-6.5856,Résidence Hôtel Ange Anaé
653,Pundaguitan,PH,80.73,heavy intensity rain,6.3711,126.1689,Leonardo Family Beach House 1
654,The Valley,AI,83.82,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
656,Bambanglipuro,ID,78.39,overcast clouds,-7.95,110.2833,Puri Brata
659,Jizan,SA,86.94,clear sky,17.3333,42.6667,شهدان. ابوالحجر
662,Harper,LR,79.12,moderate rain,4.375,-7.7169,Screensaver
663,Cap Malheureux,MU,75.47,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
665,Auki,SB,77.76,broken clouds,-8.7676,160.7034,Auki Motel
668,Lata,PT,82.49,broken clouds,40.1629,-8.3327,Casa Maquia
681,Beitbridge,ZW,82.24,few clouds,-22.2167,30.0,Beitbridge Express Hotel
682,Tura,IN,76.37,broken clouds,25.5198,90.2201,Hotel RIKMAN Continental
690,Cururupu,BR,78.21,overcast clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
695,Guarapari,BR,76.71,scattered clouds,-20.6667,-40.4975,Hotel Porto do Sol
696,Sabang,ID,82.92,overcast clouds,5.8933,95.3214,Hotel Citra
697,Bangkalan,ID,80.55,moderate rain,-7.0455,112.7351,SPOT ON 2591 Griya Demangan Syariah
699,Dingle,PH,79.86,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
700,Paraguari,PY,75.11,clear sky,-25.6208,-57.1472,Motel Arami
702,Tabou,CI,78.21,moderate rain,4.423,-7.3528,hotêl doufoulougou
707,Peringat,MY,82.35,light rain,6.0333,102.2833,Daseda Guest House
