,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
80,Canandaigua,US,42.8742,-77.288,80.37,47,5,5.21,clear sky
81,Diamantino,BR,-14.4086,-56.4461,83.01,53,86,5.99,overcast clouds
82,Avarua,CK,-21.2078,-159.775,84.25,74,75,11.5,broken clouds
83,Pangody,RU,65.85,74.4859,34.03,100,100,4.52,overcast clouds
84,Semey,KZ,50.4111,80.2275,53.76,40,94,4.16,overcast clouds
85,Vaxjo,SE,56.8777,14.8091,50.05,100,75,8.05,light intensity drizzle
86,Santiago Del Estero,AR,-27.7951,-64.2615,77.31,43,33,7.7,scattered clouds
87,Kenora,CA,49.8167,-94.4337,68.77,24,100,4.0,overcast clouds
88,Esperance,AU,-33.8667,121.9,64.81,51,100,7.09,light rain
89,Miri,MY,4.4148,114.0089,77.79,90,100,3.53,moderate rain
90,Klaksvik,FO,62.2266,-6.589,41.92,78,100,24.79,overcast clouds
91,Kaitangata,NZ,-46.2817,169.8464,45.25,82,9,8.1,clear sky
92,Srednekolymsk,RU,67.45,153.6833,22.78,88,59,8.93,broken clouds
93,Valparaiso,CL,-33.0393,-71.6273,56.48,94,100,4.61,fog
94,Forbes,AU,-33.3833,148.0167,61.92,91,100,12.73,moderate rain
95,Biak,ID,-0.9131,122.8766,76.93,88,87,1.23,overcast clouds
96,Srandakan,ID,-7.9386,110.2506,77.61,90,78,1.81,moderate rain
97,Cabo San Lucas,MX,22.8909,-109.9124,91.71,33,0,10.36,clear sky
98,Calvinia,ZA,-31.4707,19.776,50.58,58,0,1.48,clear sky
99,Maldonado,UY,-34.6667,-54.9167,57.22,71,100,9.1,overcast clouds
100,Marsa Matruh,EG,31.3525,27.2453,65.01,77,57,5.12,broken clouds
101,Joshimath,IN,30.5667,79.5667,64.36,79,71,1.45,broken clouds
102,Mabaruma,GY,8.2,-59.7833,82.04,71,27,7.43,scattered clouds
103,Airai,TL,-8.9266,125.4092,58.62,91,88,0.72,overcast clouds
104,Bengkulu,ID,-3.8004,102.2655,77.52,89,87,10.85,overcast clouds
105,Geraldton,AU,-28.7667,114.6,63.01,88,100,8.05,overcast clouds
106,Boa Vista,BR,2.8197,-60.6733,85.98,66,75,6.91,broken clouds
107,Prado,BR,-17.3411,-39.2208,74.16,77,48,7.36,scattered clouds
108,Saint-Philippe,RE,-21.3585,55.7679,74.79,81,41,5.55,light rain
109,Sao Joao Da Barra,BR,-21.6403,-41.0511,77.09,81,16,11.65,few clouds
110,Deputatskiy,RU,69.3,139.9,20.73,91,100,5.48,overcast clouds
111,Lorengau,PG,-2.0226,147.2712,82.36,73,100,7.83,overcast clouds
112,Dikson,RU,73.5069,80.5464,11.12,96,72,6.33,broken clouds
113,Zhanakorgan,KZ,43.9098,67.2495,67.6,39,89,17.18,overcast clouds
114,Oxford,GB,51.7522,-1.256,52.5,76,0,4.61,clear sky
115,Ilulissat,GL,69.2167,-51.1,30.22,37,0,6.91,clear sky
116,Kati,ML,12.7441,-8.0726,93.18,10,99,1.39,overcast clouds
117,Sakaiminato,JP,35.55,133.2333,63.0,92,100,5.86,light rain
118,Trincomalee,LK,8.5711,81.2335,82.94,74,100,21.3,overcast clouds
119,Ballina,AU,-28.8667,153.5667,66.78,74,100,14.52,overcast clouds
120,Opuwo,NA,-18.0607,13.84,66.06,26,0,7.07,clear sky
121,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,76.75,84,10,5.84,clear sky
122,Salalah,OM,17.0151,54.0924,84.29,84,0,5.75,clear sky
123,Shache,CN,38.4167,77.2406,73.71,29,38,21.9,scattered clouds
124,Nuuk,GL,64.1835,-51.7216,34.41,93,100,13.8,light snow
125,Katsuura,JP,35.1333,140.3,66.15,89,100,5.5,overcast clouds
126,Novoilinsk,RU,51.6829,108.7143,26.78,70,41,2.46,scattered clouds
127,Muisne,EC,0.6,-80.0333,78.87,80,70,8.21,broken clouds
128,Barhi,IN,23.9,80.8,88.93,30,1,5.32,clear sky
129,Hope,US,33.6671,-93.5916,92.98,40,0,6.8,clear sky
130,Ambilobe,MG,-13.2,49.05,71.69,96,14,2.08,light rain
131,Atuona,PF,-9.8,-139.0333,78.69,70,0,18.54,clear sky
132,Phatthalung,TH,7.5,100.0833,78.12,89,91,4.72,overcast clouds
133,Elko,US,41.0002,-115.5012,47.64,45,100,18.01,overcast clouds
134,Sibolga,ID,1.7427,98.7792,76.14,96,100,6.17,overcast clouds
135,Saint George,US,37.1041,-113.5841,73.99,11,0,25.32,clear sky
136,Tiksi,RU,71.6872,128.8694,14.29,93,98,5.59,overcast clouds
137,San Jeronimo,PE,-11.9472,-75.2829,60.49,55,49,9.15,scattered clouds
138,Poum,NC,-20.2333,164.0167,76.44,68,100,22.28,overcast clouds
139,Chuy,UY,-33.6971,-53.4616,58.96,65,100,11.61,overcast clouds
140,Cidreira,BR,-30.1811,-50.2056,62.51,80,61,13.35,broken clouds
141,Makariv,UA,50.4641,29.8113,51.98,75,72,7.94,broken clouds
142,Kunigal,IN,13.0222,77.0267,69.39,83,100,10.18,overcast clouds
143,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,46.99,53,75,0.0,broken clouds
144,Independencia,BR,-5.3964,-40.3086,82.63,44,78,5.55,broken clouds
145,Aranos,NA,-24.1333,19.1167,65.79,23,13,6.08,few clouds
146,Carutapera,BR,-1.195,-46.02,76.71,92,83,5.55,broken clouds
147,Atbasar,KZ,51.8,68.3333,52.36,60,97,5.48,overcast clouds
148,Turayf,SA,31.6725,38.6637,66.56,29,2,11.5,clear sky
149,Vila Velha,BR,-20.3297,-40.2925,76.95,78,0,10.36,clear sky
150,Vostok,RU,46.4856,135.8833,41.4,94,100,1.28,overcast clouds
151,Iranshahr,IR,27.2025,60.6848,85.95,16,0,1.25,clear sky
152,Bethel,US,41.3712,-73.414,78.03,42,100,6.91,overcast clouds
153,Sulzbach-Rosenberg,DE,49.4983,11.7517,70.59,86,8,5.26,clear sky
154,Meulaboh,ID,4.1363,96.1285,77.52,85,100,5.23,overcast clouds
155,Saskylakh,RU,71.9167,114.0833,25.0,89,78,15.84,broken clouds
156,Santa Cruz,BO,-17.8,-63.1667,75.25,60,75,9.22,light rain
157,Pueblo Nuevo,MX,23.3833,-105.3833,72.25,46,35,4.34,scattered clouds
158,Sioux Lookout,CA,50.1001,-91.917,72.0,24,39,3.58,scattered clouds
159,Pangnirtung,CA,66.1451,-65.7125,27.23,83,22,3.04,few clouds
160,Krasnopillya,UA,50.7746,35.2597,46.8,80,51,7.99,broken clouds
161,Severo-Kurilsk,RU,50.6789,156.125,39.7,88,54,6.87,broken clouds
162,Port Alfred,ZA,-33.5906,26.891,61.18,78,0,8.75,clear sky
163,Oeiras,BR,-7.0253,-42.1311,85.23,44,100,2.66,overcast clouds
164,Meadow Lake,US,34.8014,-106.5436,88.7,12,3,30.11,clear sky
165,Bambous Virieux,MU,-20.3428,57.7575,74.21,80,11,6.15,few clouds
166,Torbay,CA,47.6666,-52.7314,55.89,22,11,11.92,few clouds
167,Dingle,PH,10.9995,122.6711,77.81,86,88,5.73,overcast clouds
168,Kralendijk,BQ,12.15,-68.2667,82.38,74,75,20.71,broken clouds
169,Hampstead,US,42.8745,-71.1812,74.25,53,0,10.36,clear sky
170,Lagoa,PT,39.05,-27.9833,58.01,67,81,14.52,broken clouds
171,Talcahuano,CL,-36.7167,-73.1167,56.88,72,0,4.61,clear sky
172,Arlit,NE,18.7369,7.3853,91.53,10,0,14.85,clear sky
173,Kavieng,PG,-2.5744,150.7967,82.81,77,99,11.56,overcast clouds
174,Aitape,PG,-3.1374,142.3475,79.2,87,99,3.67,overcast clouds
175,Port Elizabeth,ZA,-33.918,25.5701,58.32,87,0,1.01,clear sky
176,Haines Junction,CA,60.7522,-137.5108,40.37,84,100,1.81,overcast clouds
177,Fukue,JP,32.6881,128.8419,67.44,96,100,8.97,overcast clouds
178,Port Shepstone,ZA,-30.7414,30.455,66.83,80,87,5.53,overcast clouds
179,Redmond,US,47.674,-122.1215,64.06,42,49,8.99,scattered clouds
180,Bilibino,RU,68.0546,166.4372,33.64,99,100,3.65,snow
181,Provideniya,RU,64.3833,-173.3,41.36,75,40,13.42,scattered clouds
182,Auki,SB,-8.7676,160.7034,79.63,79,100,1.28,overcast clouds
183,Puerto Asis,CO,0.5133,-76.5007,85.87,59,47,0.89,scattered clouds
184,Plymouth,US,41.8334,-70.8328,60.4,82,100,12.66,mist
185,Sarakhs,IR,36.5449,61.1577,73.96,27,8,4.81,clear sky
186,Pirayu,PY,-25.4833,-57.2333,69.48,75,0,4.74,clear sky
187,Luderitz,NA,-26.6481,15.1594,57.7,68,0,10.85,clear sky
188,Puerto Varas,CL,-41.3195,-72.9854,50.22,100,100,12.66,light rain
189,Sinnamary,GF,5.3833,-52.95,79.02,85,21,11.81,few clouds
190,Khash,IR,28.2211,61.2158,72.91,19,0,4.14,clear sky
191,Pacific Grove,US,36.6177,-121.9166,67.55,69,20,12.66,few clouds
192,Mildura,AU,-34.2,142.15,57.16,100,100,5.75,mist
193,Talnakh,RU,69.4865,88.3972,29.21,98,100,5.75,snow
194,Guerrero Negro,MX,27.9769,-114.0611,67.39,48,81,25.23,broken clouds
195,Bonavista,CA,48.6499,-53.1147,50.04,55,31,18.28,scattered clouds
196,Aykhal,RU,66.0,111.5,31.8,87,100,16.67,overcast clouds
197,Malakal,SS,9.5334,31.6605,89.46,43,39,4.56,scattered clouds
198,Mar Del Plata,AR,-38.0023,-57.5575,53.94,81,20,8.05,light rain
199,Gonzalez,US,30.5816,-87.2914,92.75,34,0,3.44,clear sky
200,Campo Maior,BR,-4.8278,-42.1686,77.23,86,38,4.79,scattered clouds
201,Montepuez,MZ,-13.1256,38.9997,64.13,86,5,4.47,clear sky
202,Butaritari,KI,3.0707,172.7902,80.78,76,100,9.55,overcast clouds
203,Harrisonburg,US,38.4496,-78.8689,76.41,23,40,6.91,scattered clouds
204,Taoudenni,ML,22.6783,-3.9836,95.23,7,0,8.23,clear sky
205,Aripuana,BR,-9.1667,-60.6333,80.91,75,100,0.54,overcast clouds
206,Broome,US,42.2506,-75.833,79.57,14,0,5.75,clear sky
207,Shiyan,CN,32.6475,110.7781,55.35,92,88,2.35,overcast clouds
208,Chapais,CA,49.7834,-74.8492,73.18,22,70,12.59,broken clouds
209,Omboue,GA,-1.5746,9.2618,77.92,88,100,6.11,overcast clouds
210,Thompson,CA,55.7435,-97.8558,64.56,36,75,23.02,broken clouds
211,Sao Filipe,CV,14.8961,-24.4956,72.86,80,93,11.05,overcast clouds
212,Cockburn Town,TC,21.4612,-71.1419,80.74,67,0,1.34,clear sky
213,Hamilton,US,39.1834,-84.5333,88.23,45,20,10.36,few clouds
214,Sorland,NO,67.667,12.6934,44.46,92,93,7.61,overcast clouds
215,Minuri,PH,16.535,121.8574,72.25,84,3,3.09,clear sky
216,Faya,SA,18.3851,42.4509,68.11,59,47,3.89,scattered clouds
217,Ust-Ilimsk,RU,58.0006,102.6619,40.82,71,76,1.28,broken clouds
218,Cayenne,GF,4.9333,-52.3333,82.44,1,75,9.22,broken clouds
219,Ankara,TR,39.9199,32.8543,54.21,84,0,2.3,clear sky
220,Vanavara,RU,60.34,102.2797,39.04,92,25,3.62,scattered clouds
221,Uusikaupunki,FI,60.8004,21.4084,43.97,91,100,10.42,light rain
222,Narimanov,RU,46.6927,47.8498,52.95,60,39,17.18,scattered clouds
223,Vestmannaeyjar,IS,63.4427,-20.2734,40.19,65,20,12.66,few clouds
224,Usinsk,RU,65.9939,57.5281,39.99,69,4,7.52,clear sky
225,Macau,MO,22.2006,113.5461,80.4,100,40,8.05,shower rain
226,Namatanai,PG,-3.6667,152.4333,81.05,80,100,7.56,overcast clouds
227,Vanderhoof,CA,54.0166,-124.0198,51.01,55,100,7.81,overcast clouds
228,Kutum,SD,14.2,24.6667,82.33,12,87,8.79,overcast clouds
229,Pastavy,BY,55.1168,26.8326,54.18,93,100,7.83,overcast clouds
230,Kaeo,NZ,-35.1,173.7833,50.32,89,0,5.26,clear sky
231,Aksarka,RU,66.5606,67.7975,27.88,99,63,3.98,broken clouds
232,Kharp,RU,66.8014,65.8081,25.81,75,34,3.22,scattered clouds
233,Aguimes,ES,27.9054,-15.4461,66.83,78,75,12.66,broken clouds
234,Chimbote,PE,-9.0853,-78.5783,67.12,80,12,9.46,few clouds
235,Mount Gambier,AU,-37.8333,140.7667,51.71,100,75,0.0,mist
236,Moyale,KE,3.5167,39.0584,67.98,70,62,4.12,broken clouds
237,Ponta Do Sol,PT,32.6667,-17.1,69.71,83,23,4.36,few clouds
238,Sivaki,RU,52.6333,126.75,32.99,73,67,5.23,broken clouds
239,Kyabe,TD,9.4515,18.9449,89.24,39,100,4.03,overcast clouds
240,Beitbridge,ZW,-22.2167,30.0,71.51,46,1,3.27,clear sky
241,Shimanovsk,RU,52.0,127.7,35.64,52,28,3.04,scattered clouds
242,Victoria,HK,22.2855,114.1577,80.65,91,100,10.0,light rain
243,Kyaikto,MM,17.3,97.0167,80.04,85,95,2.06,overcast clouds
244,Castro,BR,-24.7911,-50.0119,61.66,77,48,4.27,scattered clouds
245,Atar,MR,20.5169,-13.0499,96.69,15,91,9.1,overcast clouds
246,Sebinkarahisar,TR,40.2883,38.4236,44.6,73,100,3.27,overcast clouds
247,Oistins,BB,13.0667,-59.5333,82.49,74,40,17.27,scattered clouds
248,Puerto Leguizamo,CO,-0.1934,-74.7819,83.01,68,58,2.46,broken clouds
249,Sabang,ID,5.8933,95.3214,83.37,74,100,21.39,overcast clouds
250,Amarante Do Maranhao,BR,-5.5667,-46.7422,79.59,72,97,1.54,overcast clouds
251,Vidim,RU,56.4088,103.1106,36.34,66,19,2.33,few clouds
252,Georgetown,MY,5.4112,100.3354,82.33,89,20,2.3,few clouds
253,Alvand,IR,36.3187,49.1678,49.75,44,3,9.42,clear sky
254,Clyde River,CA,70.4692,-68.5914,21.43,93,40,23.02,light snow
255,Cherskiy,RU,68.75,161.3,22.24,93,100,12.35,overcast clouds
256,Bredasdorp,ZA,-34.5322,20.0403,53.96,85,0,3.78,clear sky
257,Tombouctou,ML,20.0,-3.0,90.37,6,0,9.17,clear sky
258,Benjamin Hill,MX,30.1667,-111.1,90.77,8,11,16.26,few clouds
259,Bandarbeyla,SO,9.4942,50.8122,81.82,83,100,9.24,overcast clouds
260,Bridlington,GB,54.0831,-0.1919,52.9,76,1,14.03,clear sky
261,Fords,US,40.5293,-74.316,78.98,44,100,6.91,overcast clouds
262,Lavrentiya,RU,65.5833,-171.0,34.36,98,89,6.69,overcast clouds
263,Ketchikan,US,55.3422,-131.6461,48.18,96,100,5.03,light rain
264,Yatou,CN,37.15,122.3833,49.91,86,30,4.52,scattered clouds
265,Edd,ER,13.9297,41.6925,84.72,71,0,5.44,clear sky
266,Itarema,BR,-2.9248,-39.9167,77.58,82,97,9.66,overcast clouds
267,Tateyama,JP,34.9833,139.8667,66.09,89,94,4.18,overcast clouds
268,Praia Da Vitoria,PT,38.7333,-27.0667,59.76,63,40,13.31,scattered clouds
